FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,MaxH,MaxD,MaxA,MW,Year,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,TGD,Prob_D,Elo_Before_Home,Elo_Before_Away,Days_D,form_diff,SP_diff,Overall_diff,Attack_diff,Midfield_diff,Defence_diff
D,14.0,3.0,4.0,2.0,12.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.403333333333333,4.5183333333333335,8.346666666666666,1.44,4.76,9.0,1,2013,1.83,2.15,1.76,2.05,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,5,5,6,6
H,16.0,12.0,7.0,7.0,12.0,11.0,6.0,8.0,1.0,2.0,0.0,0.0,4.2716666666666665,3.545,1.8683333333333334,4.6,3.77,1.92,1,2013,2.08,1.9,1.97,1.83,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,-6,-12,-5,-5
H,11.0,4.0,9.0,2.0,12.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,1.8166666666666667,3.56,4.491666666666666,1.85,3.81,4.8,1,2013,1.95,2.01,1.89,1.92,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,4,6,2,2
H,20.0,9.0,15.0,6.0,4.0,6.0,7.0,3.0,1.0,2.0,0.0,0.0,1.1866666666666668,6.591666666666666,16.625,1.2,7.5,19.75,1,2013,1.56,2.68,1.5,2.51,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,9,12,9,9
H,6.0,12.0,4.0,6.0,12.0,8.0,3.0,5.0,2.0,2.0,0.0,0.0,2.5783333333333336,3.2949999999999995,2.7616666666666667,2.7,3.47,2.82,1,2013,2.0,2.01,1.88,1.92,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,-3,-1,-1,-2
A,20.0,12.0,11.0,8.0,11.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,2.025,3.405,3.7183333333333333,2.1,3.53,4.01,1,2013,2.18,1.81,2.09,1.73,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,1,3,0,1
D,9.0,6.0,3.0,3.0,9.0,14.0,4.0,3.0,2.0,4.0,0.0,1.0,2.396666666666667,3.27,3.051666666666667,2.4,3.37,3.26,1,2013,2.28,1.76,2.18,1.67,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,-4,-2,-5,-4
H,15.0,14.0,10.0,7.0,10.0,11.0,7.0,3.0,1.0,4.0,0.0,1.0,4.0200000000000005,3.4650000000000003,1.9416666666666664,4.39,3.6,2.0,1,2013,2.18,1.81,2.08,1.74,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,-5,-2,-6,-8
H,8.0,10.0,4.0,6.0,17.0,8.0,6.0,4.0,0.0,1.0,0.0,0.0,2.235,3.3316666666666666,3.2883333333333327,2.3,3.49,3.43,1,2013,2.1,1.85,2.03,1.77,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,-1,1,2,1
A,12.0,5.0,4.0,3.0,16.0,11.0,7.0,1.0,2.0,2.0,0.0,0.0,5.925,3.8283333333333336,1.6066666666666667,6.5,4.02,1.67,1,2013,1.93,2.05,1.88,1.93,0,0.24799478952477588,1000.0,1000.0,0.0,0.0,0.0,-7,-8,-8,-9
A,7.0,19.0,3.0,11.0,10.0,7.0,1.0,9.0,1.0,0.0,1.0,0.0,2.911666666666667,3.293333333333333,2.4783333333333335,3.14,3.4,2.6,2,2013,2.34,1.73,2.19,1.66,-2,0.2505961674670044,990.0,1010.0,2.0,-0.6000000000000001,-1.0,-1,0,-4,-6
H,11.0,11.0,6.0,5.0,8.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,1.5066666666666666,4.260000000000001,6.544999999999999,1.53,4.5,7.27,2,2013,1.72,2.36,1.65,2.19,1,0.2465789867860092,1015.0,1010.0,-1.0,0.0,0.0,4,1,3,4
D,15.0,11.0,8.0,5.0,10.0,7.0,4.0,4.0,1.0,0.0,0.0,0.0,2.9983333333333335,3.393333333333333,2.3666666666666667,3.14,3.5,2.42,2,2013,2.03,1.92,1.94,1.85,-4,0.2528815935799697,980.0,1010.0,1.0,-0.6000000000000001,-1.0,-3,-9,-3,-1
